backend,run,linker_set,project,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_file_f2,doc_to_code_component_micro_f1,doc_to_code_worst_component_f1,doc_to_code_harmonic_component_f1,doc_to_code_sentence_coverage,doc_to_code_noise_rate
terra,run3,Full,teammates,0.950690,0.740521,0.832547,0.774777,0.592593,0.333333,0.581717,0.413043,0.110275
terra,run3,FullNameOnly,teammates,0.971219,0.704335,0.816522,0.745295,0.532468,0.333333,0.540541,0.358696,0.068813
terra,run3,PartialNameOnly,teammates,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
terra,run3,CorefOnly,teammates,0.954578,0.324441,0.484284,0.373791,0.305344,0.000000,0.000000,0.184783,0.065460
terra,run3,Full,bigbluebutton,0.789776,0.899281,0.840979,0.875016,0.843373,0.400000,0.770567,0.911111,0.283352
terra,run3,FullNameOnly,bigbluebutton,0.869166,0.742969,0.801128,0.765189,0.734375,0.333333,0.695652,0.622222,0.118211
terra,run3,PartialNameOnly,bigbluebutton,0.551253,0.158273,0.245935,0.184592,0.446281,0.000000,0.000000,0.333333,0.560000
terra,run3,CorefOnly,bigbluebutton,0.949020,0.158273,0.271300,0.189923,0.282609,0.000000,0.000000,0.177778,0.076236
terra,run3,Full,jabref,0.997346,1.000000,0.998671,0.999468,0.977778,0.800000,0.960000,1.000000,0.002773
terra,run3,FullNameOnly,jabref,0.997346,1.000000,0.998671,0.999468,0.977778,0.800000,0.960000,1.000000,0.002773
terra,run3,PartialNameOnly,jabref,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,run3,CorefOnly,jabref,1.000000,0.117562,0.210390,0.142756,0.086957,0.000000,0.000000,0.100000,0.000000
terra,average,CorefOnly,bigbluebutton,0.938638,0.183998,0.306274,0.218923,0.330195,0.000000,0.000000,0.214815,0.087340
terra,average,CorefOnly,jabref,0.666667,0.078375,0.140260,0.095171,0.057971,0.000000,0.000000,0.066667,0.000000
terra,average,CorefOnly,mediastore,1.000000,0.101695,0.184615,0.123967,0.193548,0.000000,0.000000,0.120000,0.000000
terra,average,CorefOnly,teammates,0.960673,0.264707,0.413085,0.309031,0.269688,0.025641,0.071961,0.166667,0.060326
terra,average,CorefOnly,teastore,0.996870,0.277699,0.433514,0.324292,0.437784,0.000000,0.000000,0.333333,0.037037
terra,average,Full,bigbluebutton,0.792040,0.900807,0.842837,0.876661,0.847933,0.400000,0.769375,0.911111,0.281402
terra,average,Full,jabref,0.997346,1.000000,0.998671,0.999468,0.977778,0.800000,0.960000,1.000000,0.002773
terra,average,Full,mediastore,1.000000,0.525424,0.688889,0.580524,0.833333,0.000000,0.000000,0.760000,0.000000
terra,average,Full,teammates,0.947618,0.758141,0.842166,0.789621,0.595699,0.333333,0.571867,0.438406,0.149920
terra,average,Full,teastore,0.998304,0.529939,0.691721,0.584572,0.852743,0.333333,0.717407,0.884058,0.015152
terra,average,FullNameOnly,bigbluebutton,0.868884,0.739699,0.799097,0.762365,0.731053,0.333333,0.691688,0.622222,0.118282
terra,average,FullNameOnly,jabref,0.997346,1.000000,0.998671,0.999468,0.977778,0.800000,0.960000,1.000000,0.002773
terra,average,FullNameOnly,mediastore,1.000000,0.423729,0.595238,0.478927,0.755556,0.000000,0.000000,0.640000,0.000000
terra,average,FullNameOnly,teammates,0.971961,0.723807,0.829653,0.762719,0.554199,0.333333,0.553302,0.376812,0.065762
terra,average,FullNameOnly,teastore,1.000000,0.261669,0.414798,0.307003,0.682927,0.000000,0.000000,0.608696,0.000000
terra,average,PartialNameOnly,bigbluebutton,0.559372,0.159581,0.248013,0.186114,0.449940,0.000000,0.000000,0.333333,0.553982
terra,average,PartialNameOnly,jabref,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,average,PartialNameOnly,mediastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,average,PartialNameOnly,teammates,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.666667
terra,average,PartialNameOnly,teastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
